25-07-2025 18:16:20 | INFO: status: 304 | Message: User sent successfully.
25-07-2025 18:16:20 | INFO: status: 200 | Message: User sent successfully.
25-07-2025 18:16:20 | INFO: status: 304 | Message: Clients has been sent successfully.
25-07-2025 18:16:20 | INFO: status: 304 | Message: Available clients have been sent successfully. 
25-07-2025 18:16:20 | INFO: status: 304 | Message: Program sent successfully.
25-07-2025 18:16:20 | INFO: status: 200 | Message: Program sent successfully.
25-07-2025 18:16:20 | INFO: status: 304 | Message: Clients has been sent successfully.
25-07-2025 18:16:20 | INFO: status: 304 | Message: Available clients have been sent successfully. 
25-07-2025 18:16:20 | INFO: status: 200 | Message: Clients has been sent successfully.
25-07-2025 18:16:20 | INFO: status: 200 | Message: Program sent successfully.
25-07-2025 18:16:28 | INFO: status: 304 | Message: Exercise have been sent successfully.
25-07-2025 18:16:28 | INFO: status: 304 | Message: Exercise have been sent successfully.
25-07-2025 18:16:29 | INFO: status: 304 | Message: Clients has been sent successfully.
25-07-2025 18:16:30 | INFO: status: 304 | Message: Clients has been sent successfully.
25-07-2025 18:18:18 | INFO: status: 304 | Message: Exercise have been sent successfully.
25-07-2025 18:18:18 | INFO: status: 304 | Message: Exercise have been sent successfully.
25-07-2025 18:18:19 | INFO: status: 304 | Message: Clients has been sent successfully.
25-07-2025 18:18:19 | INFO: status: 200 | Message: Clients has been sent successfully.
25-07-2025 18:18:19 | INFO: status: 304 | Message: Available clients have been sent successfully. 
25-07-2025 18:18:19 | INFO: status: 200 | Message: Available clients have been sent successfully. 
25-07-2025 18:18:19 | INFO: status: 304 | Message: Program sent successfully.
25-07-2025 18:18:19 | INFO: status: 200 | Message: Program sent successfully.
25-07-2025 18:24:10 | ERROR: status: 400 | Message: failed to login, password not matching.
25-07-2025 18:25:36 | INFO: status: 200 | Message: Token provided.
25-07-2025 18:25:37 | INFO: status: 200 | Message: User sent successfully.
25-07-2025 18:26:00 | ERROR: status: 403 | Message: Access denied.
25-07-2025 18:26:00 | ERROR: status: 403 | Message: Access denied.
25-07-2025 18:26:00 | ERROR: status: 403 | Message: Access denied.
25-07-2025 18:26:00 | ERROR: status: 403 | Message: Access denied.
